customerNumber,customerName,contactFirstName,contactLastName,phone,addressLine1,city,state,country,creditLimit,customerSegment
1,Lina Jones,Lina,Jones,+212-606-877572,71 Rue de Example,Tangier,,USA,28337.82,Consumer
2,Mohamed Kamal,Mohamed,Kamal,+212-622-719176,109 Rue de Example,Casablanca,,Morocco,19192.2,Consumer
3,Khadija Smith,Khadija,Smith,+212-743-308496,184 Rue de Example,Oujda,,USA,90117.2,Consumer
4,Alice Brown,Alice,Brown,+212-778-543143,88 Rue de Example,Marrakech,,Spain,43455.1,Small Business
5,Bob Jones,Bob,Jones,+212-697-201414,92 Rue de Example,Agadir,,Germany,161522.09,Small Business
6,John Jones,John,Jones,+212-696-182627,142 Rue de Example,Marrakech,,UK,115681.75,Small Business
7,Alice Martin,Alice,Martin,+212-797-403445,21 Rue de Example,Tangier,,France,76335.18,Consumer
8,Fatima Brown,Fatima,Brown,+212-694-472528,54 Rue de Example,Marrakech,,France,122021.64,Consumer
9,Mohamed Martin,Mohamed,Martin,+212-641-584714,98 Rue de Example,Marrakech,,USA,137080.54,Small Business
10,Alice Martin,Alice,Martin,+212-608-944151,81 Rue de Example,Oujda,,Germany,13704.63,Enterprise
11,Khadija Garcia,Khadija,Garcia,+212-654-787277,128 Rue de Example,Oujda,,Portugal,29002.88,Consumer
12,Mohamed Kamal,Mohamed,Kamal,+212-737-375504,192 Rue de Example,Oujda,,Italy,72718.29,Partner
13,Carla Kamal,Carla,Kamal,+212-726-195325,194 Rue de Example,Casablanca,,France,30991.84,Consumer
14,Lina Hernandez,Lina,Hernandez,+212-752-166613,99 Rue de Example,Oujda,,Portugal,106058.31,Partner
15,Alice Jones,Alice,Jones,+212-774-663054,193 Rue de Example,Marrakech,,UK,22754.66,Consumer
16,Imane Smith,Imane,Smith,+212-784-854639,68 Rue de Example,Fes,,France,174168.45,Consumer
17,Lina Kamal,Lina,Kamal,+212-755-308573,40 Rue de Example,Agadir,,Spain,108106.12,Small Business
18,John Smith,John,Smith,+212-753-439902,126 Rue de Example,Casablanca,,France,185855.17,Enterprise
19,Eva Martin,Eva,Martin,+212-614-352572,146 Rue de Example,Rabat,,France,146515.57,Small Business
20,John Brown,John,Brown,+212-632-791798,122 Rue de Example,Fes,,Germany,105770.92,Small Business
21,David Kamal,David,Kamal,+212-793-865388,177 Rue de Example,Tangier,,Germany,80098.96,Small Business
22,Fatima Dubois,Fatima,Dubois,+212-732-573417,31 Rue de Example,Tangier,,USA,13273.17,Consumer
23,John Martin,John,Martin,+212-750-330914,2 Rue de Example,Rabat,,Morocco,46173.89,Enterprise
24,Fatima Jones,Fatima,Jones,+212-731-349565,72 Rue de Example,Sale,,USA,108077.17,Small Business
25,Khadija ElAmrani,Khadija,ElAmrani,+212-721-354801,122 Rue de Example,Oujda,,USA,19318.0,Small Business
26,Fatima Hernandez,Fatima,Hernandez,+212-705-589710,187 Rue de Example,Casablanca,,France,12592.23,Small Business
27,Bob Martin,Bob,Martin,+212-649-299448,138 Rue de Example,Sale,,Spain,84665.39,Consumer
28,David Jones,David,Jones,+212-713-947272,141 Rue de Example,Rabat,,Morocco,130602.91,Consumer
29,Alice Jones,Alice,Jones,+212-792-989921,61 Rue de Example,Fes,,Italy,97385.4,Consumer
30,Hassan Smith,Hassan,Smith,+212-642-497382,1 Rue de Example,Oujda,,Germany,185340.36,Small Business
31,Eva Hernandez,Eva,Hernandez,+212-778-865990,143 Rue de Example,Sale,,Spain,38384.62,Consumer
32,Alice ElAmrani,Alice,ElAmrani,+212-788-668532,16 Rue de Example,Agadir,,Morocco,10503.4,Consumer
33,John Brown,John,Brown,+212-614-632496,21 Rue de Example,Fes,,France,119209.5,Small Business
34,David Hernandez,David,Hernandez,+212-630-697347,64 Rue de Example,Casablanca,,France,84135.37,Consumer
35,John Garcia,John,Garcia,+212-666-314181,172 Rue de Example,Agadir,,USA,53490.1,Consumer
36,Lina Nguyen,Lina,Nguyen,+212-717-431535,193 Rue de Example,Rabat,,Morocco,91927.96,Partner
37,Bob Jones,Bob,Jones,+212-737-323508,130 Rue de Example,Marrakech,,Spain,186685.25,Enterprise
38,David Garcia,David,Garcia,+212-672-265409,113 Rue de Example,Marrakech,,Morocco,133738.71,Consumer
39,Lina Jones,Lina,Jones,+212-634-377312,30 Rue de Example,Rabat,,Spain,54833.47,Small Business
40,Mohamed Garcia,Mohamed,Garcia,+212-652-820892,163 Rue de Example,Marrakech,,Portugal,50598.69,Enterprise
41,Alice Jones,Alice,Jones,+212-762-544151,71 Rue de Example,Casablanca,,Morocco,67044.53,Consumer
